Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,Max Error
RidgeCV,0.9999915842518053,0.9999915914818296,0.003002782827421945,0.010936975479125977,0.023345559917228087
LinearSVR,0.9999913480435036,0.999991355476456,0.0030446313909024973,0.026491403579711914,0.026313247745899382
BayesianRidge,0.9999910179151213,0.9999910256316891,0.003102173864143602,0.00780487060546875,0.023300672117683163
OrthogonalMatchingPursuitCV,0.9999910178097486,0.999991025526407,0.0031021920605509945,0.00878453254699707,0.023300664658786552
Lars,0.9999910178097486,0.999991025526407,0.003102192060551153,0.010012626647949219,0.023300664658786552
LarsCV,0.9999910178097486,0.999991025526407,0.003102192060551153,0.014016389846801758,0.023300664658786552
LinearRegression,0.9999910178097486,0.999991025526407,0.003102192060551687,0.0029997825622558594,0.023300664658780335
LassoLarsIC,0.9999910178097486,0.999991025526407,0.003102192060551153,0.007001161575317383,0.023300664658786552
RANSACRegressor,0.9999910178097486,0.999991025526407,0.003102192060551687,0.008146524429321289,0.023300664658780335
TransformedTargetRegressor,0.9999910178097486,0.999991025526407,0.003102192060551687,0.010073661804199219,0.023300664658780335
LassoLarsCV,0.9999910178097486,0.999991025526407,0.003102192060551153,0.007999658584594727,0.023300664658786552
HuberRegressor,0.99999090213545,0.9999909099514849,0.0031221034600068215,0.019741058349609375,0.02669787103124044
Ridge,0.9999903488522187,0.9999903571435828,0.0032156371699475694,0.008331775665283203,0.024851604281069584
LassoCV,0.9999792424929231,0.999979260325833,0.004715906158927748,0.05853915214538574,0.04066119104207999
ElasticNetCV,0.9999156459963069,0.9999157184653822,0.009506713531457479,0.05138850212097168,0.0954159757107691
GaussianProcessRegressor,0.999760756329312,0.9997609618651117,0.016010237919481664,0.10093426704406738,0.46672334804077753
OrthogonalMatchingPursuit,0.999653330239117,0.9996536280653721,0.019272388319333086,0.004245281219482422,0.15685496010547606
LGBMRegressor,0.9996084261168613,0.999608762520541,0.02048256851041545,0.10871291160583496,0.12076647621549252
ExtraTreesRegressor,0.9995810723353791,0.999581432238871,0.0211859077829607,0.1655259132385254,0.3132032500000008
RandomForestRegressor,0.9995706104676803,0.999570979359031,0.021448814029249315,0.23223423957824707,0.15603149999999744
HistGradientBoostingRegressor,0.9995676541157129,0.999568025546885,0.02152252503970159,0.18265509605407715,0.13839936856191848
SGDRegressor,0.9995337403530553,0.9995341409197623,0.02235071765996924,0.009088993072509766,0.21963066553947108
BaggingRegressor,0.9994975264941305,0.9994979581724002,0.023202465786875005,0.032697200775146484,0.15350070000000038
GradientBoostingRegressor,0.999445202166833,0.9994456787972739,0.024380630654068938,0.11717963218688965,0.14800221079934683
XGBRegressor,0.9993623964576042,0.9993629442269705,0.02613683028423707,0.1071462631225586,0.1873874279174803
PassiveAggressiveRegressor,0.9992128781997346,0.9992135544212125,0.02904012809244509,0.007938623428344727,0.08091802529169367
DecisionTreeRegressor,0.998630752734925,0.9986319290641905,0.03830173950825026,0.008002996444702148,0.21005300000000027
MLPRegressor,0.9978861226017955,0.9978879386476703,0.04759019177112267,0.13962364196777344,0.7625967727979321
ExtraTreeRegressor,0.9976940173514752,0.9976959984362248,0.049705629094309194,0.008422136306762695,0.23892600000000003
NuSVR,0.9972528447353646,0.9972552048343892,0.05425242560323801,0.22344446182250977,1.0192948755064344
SVR,0.9939517070138347,0.9939569031418297,0.08049964545037891,0.05617260932922363,1.2475183400604712
KernelRidge,0.9914463751351483,0.9914537236101182,0.09573101354421973,0.02840137481689453,0.11842630110895147
AdaBoostRegressor,0.96629147499518,0.9663204342091016,0.19004105464813933,0.029773473739624023,0.4872925714285714
KNeighborsRegressor,0.9502881633785394,0.9503308711419599,0.23078493800298963,0.016026020050048828,1.4676491999999999
TweedieRegressor,0.8538017855885444,0.8539273854291041,0.3957752131156519,0.0098419189453125,3.522201048691149
ElasticNet,0.840542313440086,0.8406793045797423,0.4133331965411149,0.006162405014038086,3.1749593199581536
Lasso,0.8328168093110235,0.8329604374817186,0.4232274833546839,0.008010625839233398,2.047705131825448
LassoLars,0.8328168093110235,0.8329604374817186,0.4232274833546839,0.007000446319580078,2.047705131825448
DummyRegressor,-0.009039976961993323,-0.008173104129551856,1.039756738465401,0.005997419357299805,4.776303347406514
QuantileRegressor,-0.047625733784311786,-0.046725711676249615,1.0594504167660244,1.4357950687408447,4.906528
