Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,Max Error
KernelRidge,0.9987405595153833,0.9987416415089269,0.034761762596595046,0.06799674034118652,0.32489547701776056
ElasticNetCV,0.9987266797598396,0.9987277736775717,0.03495278501218399,0.05092263221740723,0.33135074448890345
Ridge,0.9987198291612184,0.9987209289643445,0.03504668373988292,0.002791881561279297,0.33055245360431185
LassoCV,0.9987159157124138,0.9987170188776093,0.03510021126126901,0.04440116882324219,0.33241121785969696
LassoLarsIC,0.9986993574127188,0.9987004748032576,0.0353257954227885,0.008036136627197266,0.331378895589852
RidgeCV,0.9986972372520968,0.9986983564640796,0.03535457575955495,0.008055448532104492,0.3311108960065865
OrthogonalMatchingPursuitCV,0.9986944410000452,0.9986955626143064,0.03539249798044071,0.010015726089477539,0.3312262990830317
BayesianRidge,0.9986942479385625,0.998695369718684,0.035395114742896916,0.004831790924072266,0.3311721726097172
TransformedTargetRegressor,0.9986942195528878,0.9986953413573957,0.03539549946706505,0.00513148307800293,0.3311727445989048
LassoLarsCV,0.9986942195528878,0.9986953413573957,0.03539549946706502,0.008216142654418945,0.331172744598903
LinearRegression,0.9986942195528878,0.9986953413573957,0.03539549946706505,0.004110097885131836,0.3311727445989048
Lars,0.9986942195528878,0.9986953413573957,0.03539549946706502,0.008791923522949219,0.331172744598903
LarsCV,0.9986942195528878,0.9986953413573957,0.03539549946706502,0.009890079498291016,0.331172744598903
SGDRegressor,0.99863279304788,0.9986339676242993,0.03621846944331119,0.011680364608764648,0.3384904855087272
PassiveAggressiveRegressor,0.9980629150872705,0.9980645792495667,0.0431109202815669,0.0069332122802734375,0.20616215401341087
LinearSVR,0.9976394911180456,0.9976415190466383,0.047590008671129704,0.04603934288024902,0.4232657809885021
HuberRegressor,0.9976261751232033,0.9976282144916542,0.04772405118949983,0.01768946647644043,0.4249749689142637
RANSACRegressor,0.9967754673576308,0.9967782375746775,0.05562196831470759,0.01405024528503418,0.4649303506066076
MLPRegressor,0.9950116588261311,0.9950159443426034,0.06918166962160119,0.12599945068359375,0.8503283825273451
GradientBoostingRegressor,0.9723425515779983,0.9723663122725189,0.16289922571876286,0.1911756992340088,1.8310430676444183
ExtraTreesRegressor,0.9679597960980557,0.9679873220464251,0.17533176313895218,0.27932047843933105,2.340272049999995
XGBRegressor,0.9652605090946501,0.9652903540181084,0.18256801318983457,0.08124327659606934,2.0832847051696777
HistGradientBoostingRegressor,0.9601024026717282,0.9601366789580927,0.19565292091675845,0.17393875122070312,2.448391562812808
RandomForestRegressor,0.9540750401956815,0.9541144946285031,0.20991204368726105,0.5776288509368896,2.6349598299999952
ExtraTreeRegressor,0.9530127860859748,0.9530531531082378,0.21232582084159335,0.009293556213378906,2.2807639999999996
BaggingRegressor,0.9520937405053085,0.9521348970856304,0.2143922567416195,0.08135676383972168,2.3864626000000007
LGBMRegressor,0.947563749056893,0.9476087973824455,0.22429974563388175,0.05233454704284668,2.4514463388334518
DecisionTreeRegressor,0.9453335714577389,0.9453805357434281,0.22901994986498017,0.0183408260345459,2.4061590000000006
KNeighborsRegressor,0.9147924791665694,0.9148656815040551,0.2859248679360678,0.01482844352722168,3.042127
AdaBoostRegressor,0.8937746755143331,0.8938659343841662,0.31924712705156066,0.10271358489990234,2.9469163821656075
GaussianProcessRegressor,0.8347202584450937,0.8348622513502096,0.39821973316356585,0.24652934074401855,7.549747811610955
OrthogonalMatchingPursuit,0.8310122024888463,0.8311573810090449,0.40266199163771044,0.006016969680786133,3.658753753885743
NuSVR,0.7935963007439846,0.7937736235096684,0.4450119801847317,0.7857208251953125,7.611459768251208
SVR,0.782581988918572,0.7827687741514598,0.45673124607830223,0.049245357513427734,7.619615631156202
TweedieRegressor,0.660949173037817,0.6612404538169941,0.5703551514733932,0.01132059097290039,6.286200724341595
ElasticNet,0.5018887812078859,0.5023167118082228,0.6913152322828066,0.0055124759674072266,6.561047434404241
QuantileRegressor,-0.0008683835133547202,-8.530950198926135e-06,0.9799444322803097,5.270943641662598,7.982101999999999
DummyRegressor,-0.0008731001465565047,-1.3243531310269674e-05,0.9799467412917021,0.008129358291625977,7.981398023413432
Lasso,-0.0008731001465565047,-1.3243531310269674e-05,0.9799467412917021,0.008265972137451172,7.981398023413432
LassoLars,-0.0008731001465565047,-1.3243531310269674e-05,0.9799467412917021,0.008165597915649414,7.981398023413432
