Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,Max Error
RANSACRegressor,0.9999927302244818,0.9999927364699934,0.002790860040590225,0.012499332427978516,0.024865232670086
OrthogonalMatchingPursuitCV,0.9999926963864365,0.9999927026610186,0.0027973476969835203,0.01816844940185547,0.024688299646468792
LarsCV,0.9999925627626273,0.9999925691520064,0.0028228212539398484,0.015172958374023438,0.024798244393333668
LinearRegression,0.9999925627626273,0.9999925691520064,0.0028228212539397717,0.007009029388427734,0.024798244393329227
LassoLarsIC,0.9999925627626273,0.9999925691520064,0.0028228212539398484,0.010957479476928711,0.024798244393333668
Lars,0.9999925627626273,0.9999925691520064,0.0028228212539398484,0.009733200073242188,0.024798244393333668
TransformedTargetRegressor,0.9999925627626273,0.9999925691520064,0.0028228212539397717,0.008732080459594727,0.024798244393329227
LassoLarsCV,0.9999925627626273,0.9999925691520064,0.0028228212539398484,0.012719392776489258,0.024798244393333668
BayesianRidge,0.9999925626507339,0.9999925690402092,0.0028228424885762826,0.009347915649414062,0.024798080155516544
RidgeCV,0.9999925521546611,0.9999925585531536,0.0028248336760821166,0.00944828987121582,0.024783208796165468
Ridge,0.9999924234866602,0.9999924299956923,0.002849129919110192,0.011889457702636719,0.024647856984977068
SGDRegressor,0.9999910122945203,0.9999910200159167,0.0031031443156196163,0.012129783630371094,0.02840538127759018
LinearSVR,0.9999903987984105,0.9999904070468654,0.003207305665368538,0.2752699851989746,0.02856596205060491
HuberRegressor,0.9999901316262045,0.9999901401041889,0.003251624243547892,0.03143048286437988,0.029881036475513767
LassoCV,0.9999724537739482,0.9999724774390908,0.005432611026447348,0.06353163719177246,0.05293137165288453
ElasticNetCV,0.9999410548232438,0.9999411054634301,0.007946972211231843,0.11272644996643066,0.08381384531502523
RandomForestRegressor,0.9998479841525569,0.9998481147503641,0.012762095485580258,2.7699575424194336,0.12928468999999998
BaggingRegressor,0.9998098781289487,0.9998100414638895,0.014272287879294273,0.2923605442047119,0.18609119999999968
GradientBoostingRegressor,0.9997347864640045,0.9997350143106849,0.01685681032692364,0.9615216255187988,0.1424029789926773
PassiveAggressiveRegressor,0.9997221700881286,0.9997224087736198,0.017253096753588375,0.008754253387451172,0.08639266712553884
OrthogonalMatchingPursuit,0.999685888605482,0.9996861584606319,0.018345071242677584,0.009325742721557617,0.1710363488153508
ExtraTreeRegressor,0.9996041992651467,0.9996045393001423,0.02059282151430055,0.024373769760131836,0.29282600000000003
DecisionTreeRegressor,0.9995632793043191,0.9995636544939202,0.02163114177495967,0.05354666709899902,0.2840399999999996
HistGradientBoostingRegressor,0.9995488298748464,0.9995492174780467,0.02198607598016059,0.1503767967224121,0.32815697345593176
MLPRegressor,0.9995291724583519,0.9995295769493671,0.022459934582084225,0.35858988761901855,0.47207666094723866
LGBMRegressor,0.999454380096153,0.9994548488417748,0.024178127284689658,0.06541061401367188,0.4604507410190175
ExtraTreesRegressor,0.999272139719529,0.9992727650290483,0.02792553920085479,1.2664682865142822,0.661799430000003
XGBRegressor,0.9991645148843689,0.9991652326550867,0.029918989120780934,0.08868885040283203,0.502145227706909
KernelRidge,0.998594319716206,0.9985955273453159,0.03880796178252748,5.386613130569458,0.05787310545839919
AdaBoostRegressor,0.9944847098472186,0.9944894480689993,0.07687085999271505,0.42907190322875977,0.40739757230769547
NuSVR,0.9926195315461747,0.992625872154812,0.0889241087988593,26.68817687034607,1.877143809349226
SVR,0.9882068568251959,0.9882169883914973,0.11240673744301638,0.31070637702941895,2.115702153301897
KNeighborsRegressor,0.9874382459730626,0.9874490378579655,0.11601194280679669,0.02405095100402832,1.2911397999999998
TweedieRegressor,0.8387855767556154,0.8389240771192275,0.4156037946116396,0.010278701782226562,3.4555469024568835
ElasticNet,0.7208282803773944,0.7210681186244929,0.5469067305380031,0.007792234420776367,3.2732990879974766
LassoLars,0.5039044072434236,0.5043306062062729,0.7290549141498127,0.009989261627197266,3.3719938974698893
Lasso,0.5039044072434233,0.5043306062062727,0.7290549141498127,0.007939815521240234,3.3719938974698906
QuantileRegressor,-0.0011639432227570357,-0.00030383674232514757,1.0356908926733515,261.41619634628296,4.700735999999999
DummyRegressor,-0.002064265776698493,-0.001203385823282055,1.0361564739282207,0.006998300552368164,4.7186082104765505
GaussianProcessRegressor,-2144.5883565319086,-2142.745067565816,47.945820935864106,11.617765188217163,1590.6185046653175
