Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,Max Error
GaussianProcessRegressor,0.9999999997690128,0.9999999997690359,1.552903164153304e-05,5.447492837905884,0.002400728924675022
NuSVR,0.9998875438545376,0.999887555100527,0.010835326925832195,8.608970642089844,0.8759317116774001
ExtraTreesRegressor,0.9998424548767669,0.9998424706318044,0.012824868029016775,0.8010976314544678,0.8600479800000125
RandomForestRegressor,0.9996146889464673,0.999614727478857,0.020056546587751283,1.1671314239501953,0.9115924600000112
BaggingRegressor,0.9994447514817913,0.999444807008494,0.024076542853639797,0.13874101638793945,0.8661303
HistGradientBoostingRegressor,0.9990304729672497,0.9990305699231848,0.03181488692807281,0.27721738815307617,1.3339313578668932
XGBRegressor,0.9990258388085168,0.9990259362278833,0.031890830905223856,0.09978961944580078,1.1201023199462892
LGBMRegressor,0.999024048389741,0.9990241459881554,0.03192012366078267,0.0826866626739502,1.3456350825703405
MLPRegressor,0.9985289908100005,0.998529137915823,0.039188452640745684,0.34544873237609863,0.6193782234773675
DecisionTreeRegressor,0.9983663764038915,0.9983665397716966,0.04129775291568618,0.02535533905029297,1.2935760000000007
ExtraTreeRegressor,0.9980274387697439,0.9980276360324423,0.04538012305430319,0.019446611404418945,0.7914430000000001
KNeighborsRegressor,0.9979752060316452,0.9979754085177917,0.045977022419161455,0.09666585922241211,1.0487406000000004
SVR,0.9979264556384589,0.9979266629998071,0.04652721828832766,0.28765344619750977,1.1693659432395833
GradientBoostingRegressor,0.9975614858303153,0.997561729689861,0.05045602863421427,0.4832165241241455,0.7980135374473303
HuberRegressor,0.9628793226748442,0.9628830348663164,0.19686040248304548,0.020921945571899414,1.7999731957561282
LinearSVR,0.9626478337603845,0.9626515691015198,0.19747327081257768,0.029771089553833008,1.8316259322173378
KernelRidge,0.9610004276165365,0.9610043277037777,0.2017810349676843,1.0070087909698486,1.8569966189790303
ElasticNetCV,0.9597015209844398,0.9597055509666741,0.20511373839681218,0.051114797592163086,1.774384864010683
LassoCV,0.9596827352076452,0.9596867670685199,0.2051615413418081,0.06179380416870117,1.7622870851236883
SGDRegressor,0.9596567905339495,0.9596608249893779,0.20522754275854044,0.010528087615966797,1.8214993071264018
Ridge,0.9592404006949132,0.9592444767907136,0.20628391998821324,0.010172605514526367,1.747915938590726
BayesianRidge,0.9591876973116823,0.9591917786779967,0.20641724254945956,0.025809526443481445,1.7456614754920672
RidgeCV,0.9591867019177377,0.9591907833835948,0.20641975974656626,0.011835813522338867,1.7456192995781112
LinearRegression,0.9591806593861897,0.95918474145632,0.206435039714198,0.009552955627441406,1.7453635830032193
TransformedTargetRegressor,0.9591806593861897,0.95918474145632,0.206435039714198,0.012134790420532227,1.7453635830032193
OrthogonalMatchingPursuitCV,0.9591806593861896,0.9591847414563199,0.20643503971419808,0.012577533721923828,1.7453635830032166
LassoLarsCV,0.9591806593861896,0.9591847414563199,0.2064350397141981,0.014019012451171875,1.7453635830032157
Lars,0.9591806593861896,0.9591847414563199,0.2064350397141981,0.012712478637695312,1.7453635830032157
LarsCV,0.9591806593861896,0.9591847414563199,0.2064350397141981,0.015731096267700195,1.7453635830032157
LassoLarsIC,0.9591806593861896,0.9591847414563199,0.2064350397141981,0.012013435363769531,1.7453635830032157
RANSACRegressor,0.9589123645314139,0.9589164734319241,0.20711235036520484,0.014881372451782227,1.6448366621161794
AdaBoostRegressor,0.9555594831755061,0.9555639273753286,0.21539716015731183,0.2698197364807129,1.411380480427039
OrthogonalMatchingPursuit,0.9521117352215052,0.9521165242076158,0.2235964855299523,0.008473634719848633,1.944887732482178
TweedieRegressor,0.8010534748833044,0.8010733701989933,0.4557415254662706,0.014421701431274414,4.251690724643049
PassiveAggressiveRegressor,0.7903727069372001,0.7903936703652873,0.4678152078245959,0.01520395278930664,3.086204259725595
ElasticNet,0.7423357309650799,0.7423614982508929,0.5186537492618795,0.01279759407043457,4.633328086106141
LassoLars,0.688233447414667,0.688264625109182,0.5705125246142483,0.008069515228271484,4.832112209729349
Lasso,0.6882334474146665,0.6882646251091815,0.5705125246142485,0.008033990859985352,4.832112209729351
QuantileRegressor,-0.002578875206177944,-0.002478613976616195,1.0230802418760674,38.97667098045349,7.686012
DummyRegressor,-0.008763933650598243,-0.008663053894574446,1.0262311569466795,0.006997823715209961,7.540034319611471
