Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,Max Error
GaussianProcessRegressor,0.9999280396338736,0.99992804683015,0.008667564952832177,5.432327747344971,0.8833444055611093
ExtraTreesRegressor,0.9990385878816906,0.9990386840261073,0.03168146228958464,0.9078223705291748,0.9464644000000053
MLPRegressor,0.9985619675618604,0.9985621113698978,0.038746703910779265,0.20986700057983398,0.7271259825997864
RandomForestRegressor,0.9976097401393342,0.9976099791732881,0.049954311993092866,1.4892301559448242,1.1273820200000078
XGBRegressor,0.9972363596037706,0.9972366359770226,0.05371445687174697,0.1020963191986084,1.5455162472229
BaggingRegressor,0.9971073788386262,0.9971076681103848,0.054953606827366726,0.17885422706604004,1.3257678000000004
GradientBoostingRegressor,0.9970905274154476,0.9970908183724045,0.05511344484951226,0.47562479972839355,1.0240792046157914
NuSVR,0.9962633716915773,0.996263745366864,0.062458330655691896,10.68117094039917,3.6224030353960073
HistGradientBoostingRegressor,0.9955682842365499,0.995568727422899,0.06801995994314429,0.2817721366882324,2.2686307181961682
DecisionTreeRegressor,0.9952532224650336,0.9952536971586102,0.07039630460982214,0.031072616577148438,1.3688379999999998
LGBMRegressor,0.9950955615181933,0.9950960519783902,0.07155583737629613,0.08722949028015137,2.2725034184692667
KNeighborsRegressor,0.9948086898600107,0.9948092090083296,0.07361882987972328,0.10557913780212402,1.6115384000000006
SVR,0.9940493138212341,0.9940499089096883,0.07881954916292212,0.27939772605895996,3.6244272522500642
ExtraTreeRegressor,0.9938390524076458,0.9938396685229423,0.0801999652199137,0.01800227165222168,1.5717600000000003
Ridge,0.9631762809262318,0.963179963420889,0.19607139873994234,0.008294105529785156,1.8484038970255376
BayesianRidge,0.9631762785138362,0.9631799610087347,0.19607140516245705,0.026065826416015625,1.8466751712550193
RidgeCV,0.9631762777465656,0.9631799602415407,0.1960714072051599,0.011893272399902344,1.8466683156883033
TransformedTargetRegressor,0.9631762536689285,0.9631799361663115,0.1960714713069824,0.006006002426147461,1.84647519438228
LassoLarsCV,0.9631762536689285,0.9631799361663115,0.19607147130698227,0.01639556884765625,1.8464751943822693
LassoLarsIC,0.9631762536689285,0.9631799361663115,0.19607147130698227,0.01843738555908203,1.8464751943822693
OrthogonalMatchingPursuitCV,0.9631762536689285,0.9631799361663115,0.19607147130698227,0.011696338653564453,1.8464751943822684
Lars,0.9631762536689285,0.9631799361663115,0.19607147130698227,0.01229095458984375,1.8464751943822693
LinearRegression,0.9631762536689285,0.9631799361663115,0.1960714713069824,0.008246898651123047,1.84647519438228
LarsCV,0.9631762536689285,0.9631799361663115,0.19607147130698227,0.015682697296142578,1.8464751943822693
LassoCV,0.9631561722637718,0.9631598567693623,0.19612492667737372,0.06067061424255371,1.8521007460302616
ElasticNetCV,0.9631534864391844,0.9631571712133663,0.19613207505992752,0.05910038948059082,1.8604459683022156
SGDRegressor,0.9629832638680188,0.9629869656650253,0.19658459597201985,0.009798526763916016,1.7800800534823749
KernelRidge,0.9629100151813854,0.9629137243035046,0.1967790005650423,1.0328631401062012,1.8628967305133184
HuberRegressor,0.9619255723250675,0.9619293798947539,0.1993733538511587,0.03012537956237793,1.7496873409039848
LinearSVR,0.9616992266262194,0.9617030568312303,0.1999650952644113,0.08945536613464355,1.7233417378255265
RANSACRegressor,0.9616178731923211,0.9616217115329465,0.20017735230764522,0.022345304489135742,1.721791402408206
OrthogonalMatchingPursuit,0.9530878547697356,0.9530925461406377,0.22130593918700925,0.00822901725769043,1.9740021764715125
AdaBoostRegressor,0.9511377907440784,0.9511426771278835,0.2258587770876221,0.264423131942749,1.6127031615720542
PassiveAggressiveRegressor,0.8289693321671325,0.8289864358040371,0.4225590606808281,0.011957645416259766,3.3165773954918985
TweedieRegressor,0.7984998287655969,0.79851997945441,0.4586571123503407,0.014996767044067383,4.29033485090709
ElasticNet,0.5491950347604733,0.5492401167597305,0.6860326227189375,0.01213216781616211,5.665593989908361
Lasso,0.01178931406378958,0.011888138426528694,1.0157227868587682,0.009349822998046875,7.598730361736337
LassoLars,0.011789314063789247,0.01188813842652836,1.0157227868587684,0.010021686553955078,7.598730361736338
DummyRegressor,-0.00010027044370608529,-2.5708288298176285e-07,1.0218148148658701,0.007997274398803711,7.6346221665124885
QuantileRegressor,-0.00016051765460689538,-6.049826886189713e-05,1.0218455920626004,39.11190843582153,7.6430880000000005
