Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,Max Error
GaussianProcessRegressor,0.9999997843891218,0.9999997844106836,0.00047444487203752555,883.2651431560516,0.07523094236950634
ExtraTreesRegressor,0.9998494550832225,0.999849470138216,0.012536706847801508,3.908979654312134,0.8931513600000125
MLPRegressor,0.9998224841533916,0.999822501905568,0.01361347464133243,0.8291633129119873,0.33447579576630293
RandomForestRegressor,0.9996938070754962,0.9996938376958093,0.01787919652498957,10.30424165725708,0.9319593900000092
NuSVR,0.9996664203978249,0.9996664537568971,0.018661655411391014,261.35506200790405,1.7653158560061692
BaggingRegressor,0.9995972085785674,0.9995972488590522,0.020506452147635135,1.0450246334075928,0.8853612000000011
DecisionTreeRegressor,0.9991560824645719,0.9991561668591386,0.02968249670011324,0.18774628639221191,0.7914430000000001
ExtraTreeRegressor,0.9989717467416868,0.9989718495704403,0.03276426801684013,0.06076455116271973,0.7914430000000001
KNeighborsRegressor,0.9989365055139526,0.9989366118669464,0.03332100133257763,0.11468315124511719,1.0487406000000004
GradientBoostingRegressor,0.9983636953227094,0.9983638589586317,0.04133162768236635,3.1529979705810547,1.0492007455010324
LGBMRegressor,0.9980093627359551,0.9980095618063172,0.04558757465323906,0.11559343338012695,1.6158619145152535
HistGradientBoostingRegressor,0.997951707488292,0.997951912324371,0.04624304368635252,0.406536340713501,1.5566359362998856
SVR,0.9977507030117241,0.9977509279489208,0.04845893034769113,0.9239211082458496,2.06549722717965
XGBRegressor,0.9976655699447344,0.9976658033955217,0.049367468269438,0.2908186912536621,1.6497476181945805
SGDRegressor,0.9631413548181241,0.9631450408055086,0.19616436039661006,0.024110078811645508,1.8582895034150742
LassoLarsIC,0.9631335181934996,0.9631372049645726,0.1961852128282114,0.03070855140686035,1.8779012363612653
TransformedTargetRegressor,0.9631335181934996,0.9631372049645726,0.1961852128282114,0.016925334930419922,1.8779012363612617
OrthogonalMatchingPursuitCV,0.9631335181934996,0.9631372049645726,0.1961852128282114,0.025080442428588867,1.8779012363612653
LassoLarsCV,0.9631335181934996,0.9631372049645726,0.1961852128282114,0.024679899215698242,1.8779012363612653
LarsCV,0.9631335181934996,0.9631372049645726,0.1961852128282114,0.040802001953125,1.8779012363612653
LinearRegression,0.9631335181934996,0.9631372049645726,0.1961852128282114,0.011999845504760742,1.8779012363612617
Lars,0.9631335181934996,0.9631372049645726,0.1961852128282114,0.04062390327453613,1.8779012363612653
RidgeCV,0.9631334919263987,0.9631371787000985,0.19618528271846933,0.01844191551208496,1.8779287677211656
BayesianRidge,0.9631334889041462,0.9631371756781483,0.19618529075993396,0.052106618881225586,1.8779319264933685
Ridge,0.9631332516242724,0.9631369384220033,0.19618592210183142,0.015718698501586914,1.8781765240097172
KernelRidge,0.9631332516178136,0.963136938415545,0.19618592211901686,209.06756353378296,1.8781765248130622
LassoCV,0.9631051026629208,0.9631087922756416,0.19626080497658674,0.0979151725769043,1.8834583527071578
ElasticNetCV,0.9630939477381998,0.9630976384664502,0.196290471803304,0.08211278915405273,1.891478736189577
HuberRegressor,0.9619780835521805,0.9619818858705692,0.19923582122948605,0.08460021018981934,1.7687851188985775
LinearSVR,0.9618193393316402,0.9618231575249802,0.19965129991947825,0.6765289306640625,1.7514788293715577
RANSACRegressor,0.9604962775109964,0.9605002280149287,0.20308106559450326,0.04441380500793457,1.7921372968301794
AdaBoostRegressor,0.9589696395609688,0.9589737427337851,0.2069679455742074,0.9260027408599854,1.4784016563934586
OrthogonalMatchingPursuit,0.9530179789020742,0.9530226772607959,0.22147069599276759,0.012851715087890625,1.990288090491823
TweedieRegressor,0.7941762108729504,0.7941967939379654,0.46355173108619313,0.022794723510742188,4.33153372916574
ElasticNet,0.5303910603252694,0.5304380227846522,0.7001943476044331,0.013856649398803711,5.754275011938691
PassiveAggressiveRegressor,0.41603981749699437,0.41609821546184356,0.7808040197362296,0.03323793411254883,4.249764164788557
QuantileRegressor,-0.00016041112274733926,-6.039174765581912e-05,1.0218455376417788,2326.6006519794464,7.6430810000000005
DummyRegressor,-0.00028707574913044986,-0.00018704370715405538,1.0219102410554113,0.010369300842285156,7.6491149992
Lasso,-0.00028707574913044986,-0.00018704370715405538,1.0219102410554113,0.024822235107421875,7.6491149992
LassoLars,-0.00028707574913044986,-0.00018704370715405538,1.0219102410554113,0.014653921127319336,7.6491149992
